date,AdrActCnt
2020-10-05 00:00:00+00:00,946902.0
2020-10-06 00:00:00+00:00,978521.0
2020-10-07 00:00:00+00:00,1063425.0
2020-10-08 00:00:00+00:00,1033122.0
2020-10-09 00:00:00+00:00,1006667.0
2020-10-10 00:00:00+00:00,917402.0
2020-10-11 00:00:00+00:00,791020.0
2020-10-12 00:00:00+00:00,945894.0
2020-10-13 00:00:00+00:00,1049377.0
2020-10-14 00:00:00+00:00,952949.0
2020-10-15 00:00:00+00:00,1035214.0
2020-10-16 00:00:00+00:00,973228.0
2020-10-17 00:00:00+00:00,851147.0
2020-10-18 00:00:00+00:00,744786.0
2020-10-19 00:00:00+00:00,930306.0
2020-10-20 00:00:00+00:00,1011847.0
2020-10-21 00:00:00+00:00,1013298.0
2020-10-22 00:00:00+00:00,1048775.0
2020-10-23 00:00:00+00:00,977710.0
2020-10-24 00:00:00+00:00,1098917.0
2020-10-25 00:00:00+00:00,851199.0
2020-10-26 00:00:00+00:00,825846.0
2020-10-27 00:00:00+00:00,827512.0
2020-10-28 00:00:00+00:00,817505.0
2020-10-29 00:00:00+00:00,887772.0
2020-10-30 00:00:00+00:00,901403.0
2020-10-31 00:00:00+00:00,875335.0
2020-11-01 00:00:00+00:00,897445.0
2020-11-02 00:00:00+00:00,777173.0
2020-11-03 00:00:00+00:00,1029970.0
2020-11-04 00:00:00+00:00,1175181.0
2020-11-05 00:00:00+00:00,1071518.0
2020-11-06 00:00:00+00:00,1080743.0
2020-11-07 00:00:00+00:00,1055012.0
2020-11-08 00:00:00+00:00,920529.0
2020-11-09 00:00:00+00:00,1188873.0
2020-11-10 00:00:00+00:00,1026623.0
2020-11-11 00:00:00+00:00,1004339.0
2020-11-12 00:00:00+00:00,1064270.0
2020-11-13 00:00:00+00:00,999523.0
2020-11-14 00:00:00+00:00,915336.0
2020-11-15 00:00:00+00:00,845204.0
2020-11-16 00:00:00+00:00,1041491.0
2020-11-17 00:00:00+00:00,1142716.0
2020-11-18 00:00:00+00:00,1197076.0
2020-11-19 00:00:00+00:00,1052034.0
2020-11-20 00:00:00+00:00,1177776.0
2020-11-21 00:00:00+00:00,1007240.0
2020-11-22 00:00:00+00:00,875364.0
2020-11-23 00:00:00+00:00,1014814.0
2020-11-24 00:00:00+00:00,1052398.0
2020-11-25 00:00:00+00:00,1127776.0
2020-11-26 00:00:00+00:00,1115848.0
2020-11-27 00:00:00+00:00,1099990.0
2020-11-28 00:00:00+00:00,1038684.0
2020-11-29 00:00:00+00:00,875712.0
2020-11-30 00:00:00+00:00,903580.0
2020-12-01 00:00:00+00:00,1179012.0
2020-12-02 00:00:00+00:00,1015318.0
2020-12-03 00:00:00+00:00,1165469.0
2020-12-04 00:00:00+00:00,1070208.0
2020-12-05 00:00:00+00:00,1077064.0
2020-12-06 00:00:00+00:00,906549.0
2020-12-07 00:00:00+00:00,1017188.0
2020-12-08 00:00:00+00:00,1057637.0
2020-12-09 00:00:00+00:00,1059284.0
2020-12-10 00:00:00+00:00,995137.0
2020-12-11 00:00:00+00:00,1078069.0
2020-12-12 00:00:00+00:00,962538.0
2020-12-13 00:00:00+00:00,938739.0
2020-12-14 00:00:00+00:00,977389.0
2020-12-15 00:00:00+00:00,1047043.0
2020-12-16 00:00:00+00:00,1098912.0
2020-12-17 00:00:00+00:00,1066159.0
2020-12-18 00:00:00+00:00,1194851.0
2020-12-19 00:00:00+00:00,1158142.0
2020-12-20 00:00:00+00:00,1075417.0
2020-12-21 00:00:00+00:00,1126710.0
2020-12-22 00:00:00+00:00,1095221.0
2020-12-23 00:00:00+00:00,1138302.0
2020-12-24 00:00:00+00:00,969168.0
2020-12-25 00:00:00+00:00,1021183.0
2020-12-26 00:00:00+00:00,957062.0
2020-12-27 00:00:00+00:00,1049825.0
2020-12-28 00:00:00+00:00,1154354.0
2020-12-29 00:00:00+00:00,1146131.0
2020-12-30 00:00:00+00:00,1221579.0
2020-12-31 00:00:00+00:00,1193822.0
2021-01-01 00:00:00+00:00,1001890.0
2021-01-02 00:00:00+00:00,1140633.0
2021-01-03 00:00:00+00:00,1184688.0
2021-01-04 00:00:00+00:00,1270082.0
2021-01-05 00:00:00+00:00,1230529.0
2021-01-06 00:00:00+00:00,1344921.0
2021-01-07 00:00:00+00:00,1292297.0
2021-01-08 00:00:00+00:00,1237271.0
2021-01-09 00:00:00+00:00,1094947.0
2021-01-10 00:00:00+00:00,1177151.0
2021-01-11 00:00:00+00:00,1211948.0
2021-01-12 00:00:00+00:00,1202314.0
2021-01-13 00:00:00+00:00,1163164.0
2021-01-14 00:00:00+00:00,1167975.0
2021-01-15 00:00:00+00:00,1209589.0
2021-01-16 00:00:00+00:00,1115276.0
2021-01-17 00:00:00+00:00,1002014.0
2021-01-18 00:00:00+00:00,1077578.0
2021-01-19 00:00:00+00:00,1095890.0
2021-01-20 00:00:00+00:00,1107233.0
2021-01-21 00:00:00+00:00,1059467.0
2021-01-22 00:00:00+00:00,1115180.0
2021-01-23 00:00:00+00:00,1128728.0
2021-01-24 00:00:00+00:00,1004162.0
2021-01-25 00:00:00+00:00,1121794.0
2021-01-26 00:00:00+00:00,1182517.0
2021-01-27 00:00:00+00:00,1106142.0
2021-01-28 00:00:00+00:00,1097896.0
2021-01-29 00:00:00+00:00,1208741.0
2021-01-30 00:00:00+00:00,1087755.0
2021-01-31 00:00:00+00:00,1063553.0
2021-02-01 00:00:00+00:00,999221.0
2021-02-02 00:00:00+00:00,1202183.0
2021-02-03 00:00:00+00:00,1187019.0
2021-02-04 00:00:00+00:00,1226684.0
2021-02-05 00:00:00+00:00,1257476.0
2021-02-06 00:00:00+00:00,1147256.0
2021-02-07 00:00:00+00:00,1159518.0
2021-02-08 00:00:00+00:00,1249543.0
2021-02-09 00:00:00+00:00,1174227.0
2021-02-10 00:00:00+00:00,1191329.0
2021-02-11 00:00:00+00:00,1052110.0
2021-02-12 00:00:00+00:00,1157108.0
2021-02-13 00:00:00+00:00,1217682.0
2021-02-14 00:00:00+00:00,1122976.0
2021-02-15 00:00:00+00:00,1140491.0
2021-02-16 00:00:00+00:00,989854.0
