date,BTC,ETH,BNB,SOL,XRP,DOGE,ADA,TRX,HYPE,LINK
2023-03-05,22427.6,1564.49,288.85,20.972,0.36669,0.07476,0.33696,0.06722,,6.947
2023-03-06,22409.2,1565.79,287.77,20.623,0.36952,0.0748,0.33062,0.06739,,6.856
2023-03-07,22201.5,1562.57,289.14,20.251,0.38022,0.0741,0.33065,0.0663,,6.885
2023-03-08,21706.7,1532.66,286.92,18.419,0.38912,0.07111,0.31761,0.06531,,6.579
2023-03-09,20367.2,1437.53,277.14,17.329,0.37064,0.066,0.3103,0.05864,,6.157
2023-03-10,20152.6,1426.56,277.22,18.164,0.3699,0.06574,0.31481,0.05734,,6.215
2023-03-11,20454.7,1471.67,275.95,18.078,0.36361,0.06607,0.30508,0.05878,,6.159
2023-03-12,21995.2,1579.71,288.1,20.198,0.37133,0.07046,0.32976,0.0646,,6.551
2023-03-13,24116.0,1674.26,307.88,20.402,0.37233,0.07278,0.3434,0.06696,,6.762
2023-03-14,24676.0,1699.4,308.5,20.865,0.37241,0.07455,0.34308,0.06697,,6.961
2023-03-15,24279.9,1650.05,306.31,19.246,0.35887,0.06964,0.32413,0.06517,,6.549
2023-03-16,25005.4,1673.54,329.31,19.682,0.36478,0.07255,0.32491,0.06513,,6.658
2023-03-17,27395.6,1789.66,338.9,21.601,0.3799,0.07647,0.34946,0.06765,,7.209
2023-03-18,26905.0,1758.8,331.16,21.196,0.37388,0.07297,0.33714,0.06579,,6.922
2023-03-19,27966.6,1781.08,336.57,21.859,0.3858,0.07451,0.34481,0.06651,,7.081
2023-03-20,27718.5,1732.52,332.38,22.124,0.37347,0.07137,0.33219,0.06501,,7.05
2023-03-21,28108.8,1801.53,334.47,22.534,0.46936,0.0766,0.36958,0.06701,,7.369
2023-03-22,27249.6,1734.31,321.24,21.419,0.42121,0.07385,0.35968,0.0598,,7.174
2023-03-23,28293.7,1813.59,329.49,22.18,0.44379,0.07737,0.37169,0.06524,,7.606
2023-03-24,27452.4,1749.9,321.89,20.666,0.42588,0.0745,0.3596,0.06343,,7.191
2023-03-25,27462.4,1742.25,322.43,20.414,0.44303,0.07403,0.35132,0.06366,,7.077
2023-03-26,27969.9,1774.09,328.52,20.939,0.44787,0.07438,0.35573,0.06413,,7.26
2023-03-27,27127.0,1715.08,310.67,19.904,0.47894,0.07289,0.3455,0.06356,,6.871
2023-03-28,27265.6,1772.61,313.3,20.455,0.51452,0.07384,0.36801,0.0642,,6.948
2023-03-29,28349.3,1793.18,313.89,21.099,0.54255,0.07556,0.38118,0.06434,,7.385
2023-03-30,28027.2,1793.53,316.4,20.548,0.53205,0.07422,0.3761,0.06482,,7.23
2023-03-31,28466.3,1821.71,317.03,21.168,0.53764,0.07694,0.3989,0.06554,,7.589
2023-04-01,28457.0,1820.78,314.92,21.082,0.50953,0.08181,0.39189,0.06646,,7.549
2023-04-02,28168.6,1794.57,313.92,20.521,0.51824,0.07904,0.3815,0.06519,,7.257
2023-04-03,27801.0,1810.29,308.75,20.454,0.49587,0.09599,0.38717,0.06577,,7.243
2023-04-04,28168.8,1870.34,310.84,20.916,0.50272,0.09513,0.38948,0.06576,,7.37
2023-04-05,28169.5,1908.48,313.94,20.968,0.50555,0.09268,0.39235,0.06617,,7.321
2023-04-06,28034.8,1872.6,312.14,20.616,0.50279,0.08544,0.38304,0.06608,,7.2
2023-04-07,27906.6,1864.01,310.37,20.45,0.51263,0.08224,0.38353,0.06604,,7.264
2023-04-08,27940.0,1848.85,310.56,20.043,0.50488,0.08136,0.38525,0.06612,,7.129
2023-04-09,28318.9,1858.74,312.67,20.287,0.50531,0.08319,0.38937,0.06661,,7.203
2023-04-10,29635.9,1910.12,318.49,20.899,0.51755,0.08474,0.39715,0.06731,,7.341
2023-04-11,30199.1,1889.87,322.39,22.978,0.5165,0.0841,0.40141,0.06633,,7.299
2023-04-12,29887.4,1917.6,320.01,23.805,0.50469,0.08341,0.40475,0.06513,,7.229
2023-04-13,30380.6,2011.69,324.64,24.424,0.51203,0.0873,0.42523,0.06524,,7.46
2023-04-14,30467.6,2099.25,328.91,24.72,0.52263,0.08865,0.43787,0.06619,,7.742
2023-04-15,30294.1,2090.64,333.05,24.055,0.51943,0.08887,0.45225,0.06594,,8.007
2023-04-16,30308.5,2118.81,347.8,25.343,0.52084,0.0904,0.45114,0.06657,,8.136
2023-04-17,29427.8,2074.61,339.79,24.573,0.51075,0.09137,0.43419,0.06575,,8.154
2023-04-18,30380.2,2103.64,343.17,24.829,0.5325,0.09412,0.44332,0.06683,,8.571
2023-04-19,28804.3,1934.18,322.45,22.668,0.49102,0.08788,0.41633,0.06562,,7.754
2023-04-20,28245.5,1942.65,318.0,22.198,0.4752,0.08392,0.40058,0.06541,,7.514
2023-04-21,27260.4,1848.93,321.3,21.259,0.44889,0.07844,0.38259,0.06495,,7.114
2023-04-22,27811.4,1873.94,331.92,21.794,0.47198,0.0803,0.39561,0.0661,,7.172
2023-04-23,27588.2,1861.98,330.56,21.467,0.46477,0.07878,0.38866,0.0667,,7.084
2023-04-24,27508.1,1842.09,331.31,21.373,0.46086,0.07875,0.38351,0.06609,,7.071
2023-04-25,28296.5,1866.19,338.38,21.935,0.46947,0.07975,0.39453,0.06584,,7.276
2023-04-26,28412.8,1865.93,330.62,21.281,0.46183,0.0786,0.40138,0.06509,,7.007
